LINE-G	ROUND	and LINE	#NOME?	NE VOLTA	GES BY BUS	& NODE							
-	2	69.301	/_	-121.4	0.94812	12.660	02/mar	12.003	/_	-91.4	0,92711	0,93686	0,94812
-	3	69.301	/_	118.6	0.94812	12.660	03/jan	12.003	/_	148.6	0,92711	0,93686	0,94812
48BT	1	0.23648	/_	-31.4	0.93089	0.440	01/fev	0.40959	/_	-1.4	0,90948	0,91942	0,93089
-	2	0.23648	/_	-151.4	0.93089	0.440	02/mar	0.40959	/_	-121.4	0,90948	0,91942	0,93089
-	3	0.23648	/_	88.6	0.93089	0.440	03/jan	0.40959	/_	118.6	0,90948	0,91942	0,93089
50 ..	1	68.615	/_	-1.7	0.93874	12.660	01/fev	11.884	/_	28.3	0,91464	0,92452	0,93874
-	2	68.615	/_	-121.7	0.93874	12.660	02/mar	11.884	/_	-91.7	0,91464	0,92452	0,93874
-	3	68.615	/_	118.3	0.93874	12.660	03/jan	11.884	/_	148.3	0,91464	0,92452	0,93874
50BT	1	0.23615	/_	-32.4	0.92959	0.440	01/fev	0.40902	/_	-2.4	0,90523	0,91522	0,92959
-	2	0.23615	/_	-152.4	0.92959	0.440	02/mar	0.40902	/_	-122.4	0,90523	0,91522	0,92959
-	3	0.23615	/_	87.6	0.92959	0.440	03/jan	0.40902	/_	117.6	0,90523	0,91522	0,92959
51 ..	1	68.594	/_	-1.7	0.93846	12.660	01/fev	11.881	/_	28.3	0,91435	0,92423	0,93846
-	2	68.594	/_	-121.7	0.93846	12.660	02/mar	11.881	/_	-91.7	0,91435	0,92423	0,93846
-	3	68.594	/_	118.3	0.93846	12.660	03/jan	11.881	/_	148.3	0,91435	0,92423	0,93846
51BT	1	0.23691	/_	-32.1	0.93261	0.440	01/fev	0.41035	/_	-2.1	0,90834	0,91829	0,93261
-	2	0.23691	/_	-152.1	0.93261	0.440	02/mar	0.41035	/_	-122.1	0,90834	0,91829	0,93261
-	3	0.23691	/_	87.9	0.93261	0.440	03/jan	0.41035	/_	117.9	0,90834	0,91829	0,93261
53 ..	1	68.431	/_	-1.6	0.93622	12.660	01/fev	11.853	/_	28.4	0,91205	0,92197	0,93622
-	2	68.431	/_	-121.6	0.93622	12.660	02/mar	11.853	/_	-91.6	0,91205	0,92197	0,93622
-	3	68.431	/_	118.4	0.93622	12.660	03/jan	11.853	/_	148.4	0,91205	0,92197	0,93622
53BT	1	0.23643	/_	-32.1	0.93069	0.440	01/fev	0.4095	/_	-2.1	0,90637	0,91635	0,93069
-	2	0.23643	/_	-152.1	0.93069	0.440	02/mar	0.4095	/_	-122.1	0,90637	0,91635	0,93069
-	3	0.23643	/_	87.9	0.93069	0.440	03/jan	0.4095	/_	117.9	0,90637	0,91635	0,93069
54 ..	1	6.839	/_	-1.6	0.93566	12.660	01/fev	11.845	/_	28.4	0,91148	0,92139	0,93566
-	2	6.839	/_	-121.6	0.93566	12.660	02/mar	11.845	/_	-91.6	0,91148	0,92139	0,93566
-	3	6.839	/_	118.4	0.93566	12.660	03/jan	11.845	/_	148.4	0,91148	0,92139	0,93566
54BT	1	0.23494	/_	-32.5	0.92482	0.440	01/fev	0.40692	/_	-2.5	0,90034	0,91038	0,92482
-	2	0.23494	/_	-152.5	0.92482	0.440	02/mar	0.40692	/_	-122.5	0,90034	0,91038	0,92482
-	3	0.23494	/_	87.5	0.92482	0.440	03/jan	0.40692	/_	117.5	0,90034	0,91038	0,92482
55 ..	1	71.713	/_	-0.7	0.98113	12.660	01/fev	12.421	/_	29.3	0,97157	0,98082	0,98113
-	2	71.713	/_	-120.7	0.98113	12.660	02/mar	12.421	/_	-90.7	0,97157	0,98082	0,98113
-	3	71.713	/_	119.3	0.98113	12.660	03/jan	12.421	/_	149.3	0,97157	0,98082	0,98113
55BT	1	0.12422	/_	-30.9	0.978	0.220	01/fev	0.21516	/_	-0.9	0,96841	0,97769	0,978
-	2	0.12422	/_	-150.9	0.978	0.220	02/mar	0.21516	/_	-120.9	0,96841	0,97769	0,978
-	3	0.12422	/_	89.1	0.978	0.220	03/jan	0.21516	/_	119.1	0,96841	0,97769	0,978
56 ..	1	71.713	/_	-0.7	0.98113	12.660	01/fev	12.421	/_	29.3	0,97157	0,98082	0,98113
-	2	71.713	/_	-120.7	0.98113	12.660	02/mar	12.421	/_	-90.7	0,97157	0,98082	0,98113
-	3	71.713	/_	119.3	0.98113	12.660	03/jan	12.421	/_	149.3	0,97157	0,98082	0,98113
56BT	1	0.12422	/_	-30.9	0.97799	0.220	01/fev	0.21516	/_	-0.9	0,9684	0,97769	0,97799
-	2	0.12422	/_	-150.9	0.97799	0.220	02/mar	0.21516	/_	-120.9	0,9684	0,97769	0,97799
-	3	0.12422	/_	89.1	0.97799	0.220	03/jan	0.21516	/_	119.1	0,9684	0,97769	0,97799
57 ..	1	7.147	/_	-0.6	0.9778	12.660	01/fev	12.379	/_	29.4	0,96821	0,9775	0,9778
-	2	7.147	/_	-120.6	0.9778	12.660	02/mar	12.379	/_	-90.6	0,96821	0,9775	0,9778
-	3	7.147	/_	119.4	0.9778	12.660	03/jan	12.379	/_	149.4	0,96821	0,9775	0,9778
57BT	1	0.12357	/_	-31.0	0.9729	0.220	01/fev	0.21404	/_	-1.0	0,96326	0,97259	0,9729
-	2	0.12357	/_	-151.0	0.9729	0.220	02/mar	0.21404	/_	-121.0	0,96326	0,97259	0,9729
-	3	0.12357	/_	89.0	0.9729	0.220	03/jan	0.21404	/_	119.0	0,96326	0,97259	0,9729
58 ..	1	7.147	/_	-0.6	0.9778	12.660	01/fev	12.379	/_	29.4	0,96821	0,9775	0,9778
-	2	7.147	/_	-120.6	0.9778	12.660	02/mar	12.379	/_	-90.6	0,96821	0,9775	0,9778
-	3	7.147	/_	119.4	0.9778	12.660	03/jan	12.379	/_	149.4	0,96821	0,9775	0,9778
58BT	1	0.12357	/_	-31.0	0.9729	0.220	01/fev	0.21404	/_	-1.0	0,96326	0,97259	0,9729
-	2	0.12357	/_	-151.0	0.9729	0.220	02/mar	0.21404	/_	-121.0	0,96326	0,97259	0,9729
-	3	0.12357	/_	89.0	0.9729	0.220	03/jan	0.21404	/_	119.0	0,96326	0,97259	0,9729
1 ...	1	73.085	/_	0.0	0.9999	12.660	01/fev	12.659	/_	30.0	0,99957	0,99989	0,9999
-	2	73.085	/_	-120.0	0.9999	12.660	02/mar	12.659	/_	-90.0	0,99957	0,99989	0,9999
-	3	73.085	/_	120.0	0.9999	12.660	03/jan	12.659	/_	150.0	0,99957	0,99989	0,9999
2 ...	1	73.084	/_	0.0	0.99989	12.660	01/fev	12.659	/_	30.0	0,99953	0,99988	0,99989
-	2	73.084	/_	-120.0	0.99989	12.660	02/mar	12.659	/_	-90.0	0,99953	0,99988	0,99989
-	3	73.084	/_	120.0	0.99989	12.660	03/jan	12.659	/_	150.0	0,99953	0,99988	0,99989
2E ..	1	73.084	/_	0.0	0.99989	12.660	01/fev	12.659	/_	30.0	0,99953	0,99988	0,99989
-	2	73.084	/_	-120.0	0.99989	12.660	02/mar	12.659	/_	-90.0	0,99953	0,99988	0,99989
-	3	73.084	/_	120.0	0.99989	12.660	03/jan	12.659	/_	150.0	0,99953	0,99988	0,99989
3 ...	1	73.082	/_	0.0	0.99986	12.660	01/fev	12.658	/_	30.0	0,99944	0,99986	0,99986
-	2	73.082	/_	-120.0	0.99986	12.660	02/mar	12.658	/_	-90.0	0,99944	0,99986	0,99986
-	3	73.082	/_	120.0	0.99986	12.660	03/jan	12.658	/_	150.0	0,99944	0,99986	0,99986
4 ...	1	73.062	/_	-0.1	0.99959	12.660	01/fev	12.655	/_	29.9	0,99863	0,99958	0,99959
-	2	73.062	/_	-120.1	0.99959	12.660	02/mar	12.655	/_	-90.1	0,99863	0,99958	0,99959
-	3	73.062	/_	119.9	0.99959	12.660	03/jan	12.655	/_	149.9	0,99863	0,99958	0,99959
14 ..	1	70.892	/_	-0.5	0.9699	12.660	01/fev	12.279	/_	29.5	0,96023	0,96959	0,9699
-	2	70.892	/_	-120.5	0.9699	12.660	02/mar	12.279	/_	-90.5	0,96023	0,96959	0,9699
-	3	70.892	/_	119.5	0.9699	12.660	03/jan	12.279	/_	149.5	0,96023	0,96959	0,9699
18 ..	1	70.761	/_	-0.4	0.9681	12.660	01/fev	12.256	/_	29.6	0,95841	0,96779	0,9681
-	2	70.761	/_	-120.4	0.9681	12.660	02/mar	12.256	/_	-90.4	0,95841	0,96779	0,9681
-	3	70.761	/_	119.6	0.9681	12.660	03/jan	12.256	/_	149.6	0,95841	0,96779	0,9681
22 ..	1	70.698	/_	-0.4	0.96725	12.660	01/fev	12.245	/_	29.6	0,95754	0,96694	0,96725
-	2	70.698	/_	-120.4	0.96725	12.660	02/mar	12.245	/_	-90.4	0,95754	0,96694	0,96725
-	3	70.698	/_	119.6	0.96725	12.660	03/jan	12.245	/_	149.6	0,95754	0,96694	0,96725
24 ..	1	70.675	/_	-0.4	0.96692	12.660	01/fev	12.241	/_	29.6	0,95722	0,96661	0,96692
-	2	70.675	/_	-120.4	0.96692	12.660	02/mar	12.241	/_	-90.4	0,95722	0,96661	0,96692
-	3	70.675	/_	119.6	0.96692	12.660	03/jan	12.241	/_	149.6	0,95722	0,96661	0,96692
29 ..	1	7.307	/_	0.0	0.99969	12.660	01/fev	12.656	/_	30.0	0,99933	0,99969	0,99969
-	2	7.307	/_	-120.0	0.99969	12.660	02/mar	12.656	/_	-90.0	0,99933	0,99969	0,99969
-	3	7.307	/_	120.0	0.99969	12.660	03/jan	12.656	/_	150.0	0,99933	0,99969	0,99969
30 ..	1	73.068	/_	0.0	0.99967	12.660	01/fev	12.656	/_	30.0	0,99931	0,99966	0,99967
-	2	73.068	/_	-120.0	0.99967	12.660	02/mar	12.656	/_	-90.0	0,99931	0,99966	0,99967
-	3	73.068	/_	120.0	0.99967	12.660	03/jan	12.656	/_	150.0	0,99931	0,99966	0,99967
31 ..	1	7.306	/_	0.0	0.99956	12.660	01/fev	12.654	/_	30.0	0,99921	0,99956	0,99956
-	2	7.306	/_	-120.0	0.99956	12.660	02/mar	12.654	/_	-90.0	0,99921	0,99956	0,99956
-	3	7.306	/_	120.0	0.99956	12.660	03/jan	12.654	/_	150.0	0,99921	0,99956	0,99956
65 ..	1	73.064	/_	0.0	0.9996	12.660	01/fev	12.655	/_	30.0	0,99925	0,9996	0,9996
-	2	73.064	/_	-120.0	0.9996	12.660	02/mar	12.655	/_	-90.0	0,99925	0,9996	0,9996
-	3	73.064	/_	120.0	0.9996	12.660	03/jan	12.655	/_	150.0	0,99925	0,9996	0,9996
69 ..	1	73.017	/_	0.0	0.99896	12.660	01/fev	12.647	/_	30.0	0,99861	0,99896	0,99896
-	2	73.017	/_	-120.0	0.99896	12.660	02/mar	12.647	/_	-90.0	0,99861	0,99896	0,99896
-	3	73.017	/_	120.0	0.99896	12.660	03/jan	12.647	/_	150.0	0,99861	0,99896	0,99896
88 ..	1	73.015	/_	0.0	0.99894	12.660	01/fev	12.647	/_	30.0	0,99858	0,99893	0,99894
-	2	73.015	/_	-120.0	0.99894	12.660	02/mar	12.647	/_	-90.0	0,99858	0,99893	0,99894
-	3	73.015	/_	120.0	0.99894	12.660	03/jan	12.647	/_	150.0	0,99858	0,99893	0,99894
35 ..	1	73.079	/_	0.0	0.99981	12.660	01/fev	12.658	/_	30.0	0,9994	0,99981	0,99981
-	2	73.079	/_	-120.0	0.99981	12.660	02/mar	12.658	/_	-90.0	0,9994	0,99981	0,99981
-	3	73.079	/_	120.0	0.99981	12.660	03/jan	12.658	/_	150.0	0,9994	0,99981	0,99981
45 ..	1	71.389	/_	-1.0	0.97669	12.660	01/fev	12.365	/_	29.0	0,96329	0,97265	0,97669
-	2	71.389	/_	-121.0	0.97669	12.660	02/mar	12.365	/_	-91.0	0,96329	0,97265	0,97669
-	3	71.389	/_	119.0	0.97669	12.660	03/jan	12.365	/_	149.0	0,96329	0,97265	0,97669
46 ..	1	70.148	/_	-1.3	0.95972	12.660	01/fev	12.15	/_	28.7	0,94178	0,95137	0,95972
-	2	70.148	/_	-121.3	0.95972	12.660	02/mar	12.15	/_	-91.3	0,94178	0,95137	0,95972
-	3	70.148	/_	118.7	0.95972	12.660	03/jan	12.15	/_	148.7	0,94178	0,95137	0,95972
47 ..	1	69.537	/_	-1.4	0.95136	12.660	01/fev	12.044	/_	28.6	0,9312	0,94091	0,95136
-	2	69.537	/_	-121.4	0.95136	12.660	02/mar	12.044	/_	-91.4	0,9312	0,94091	0,95136
-	3	69.537	/_	118.6	0.95136	12.660	03/jan	12.044	/_	148.6	0,9312	0,94091	0,95136
49 ..	1	69.005	/_	-1.5	0.94408	12.660	01/fev	11.952	/_	28.5	0,92207	0,93188	0,94408
-	2	69.005	/_	-121.5	0.94408	12.660	02/mar	11.952	/_	-91.5	0,92207	0,93188	0,94408
-	3	69.005	/_	118.5	0.94408	12.660	03/jan	11.952	/_	148.5	0,92207	0,93188	0,94408
52 ..	1	68.567	/_	-1.7	0.93808	12.660	01/fev	11.876	/_	28.3	0,91396	0,92385	0,93808
-	2	68.567	/_	-121.7	0.93808	12.660	02/mar	11.876	/_	-91.7	0,91396	0,92385	0,93808
-	3	68.567	/_	118.3	0.93808	12.660	03/jan	11.876	/_	148.3	0,91396	0,92385	0,93808
